content|author|language
“Don’t cry because it’s over, smile because it happened.”|Dr. Seuss|ENG
“I’m selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can’t handle me at my worst, then you sure as hell don’t deserve me at my best.”|Marilyn Monroe|ENG
“Be who you are and say what you feel, because those who mind don’t matter, and those who matter don’t mind.”|Bernard M. Baruch|ENG
“Be yourself; everyone else is already taken.”|Oscar Wilde|ENG
“You know you’re in love when you can’t fall asleep because reality is finally better than your dreams.”|Dr. Seuss|ENG
“Don’t walk behind me; I may not lead. Don’t walk in front of me; I may not follow. Just walk beside me and be my friend.”| Albert Camus|ENG
“No one can make you feel inferior without your consent.”|Eleanor Roosevelt|ENG
“You’ve gotta dance like there’s nobody watching, Love like you’ll never be hurt, Sing like there’s nobody listening, And live like it’s heaven on earth.”|William W. Purkey|ENG
“Imagination is the beginning of creation. You imagine what you desire; you will what you imagine; and at last you create what you will.”|George Bernard Shaw|ENG
“Success usually comes to those who are too busy to be looking for it.”|Henry David Thoreau|ENG
“I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”|Maya Angelou|ENG
“It’s not who you are that holds you back, it’s who you think you’re not.”|Unknown|ENG
“What the mind of man can conceive and believe, the mind of man can achieve.”|Napoleon Hill|ENG
“We are what we repeatedly do. Excellence, then, is not an act, but a habit.”|Aristotle|ENG
“The fear of death follows from the fear of life. A man who loves fully is prepared to die at any time.”|Mark Twain|ENG
“There are no accidents; there is only some purpose that we haven’t yet understood.”|Deepak Chopra|ENG
“Be miserable. Or motivate yourself. Whatever has to be done, it’s always your choice.”|Wayne Dyer|ENG
“Impossible is a word to be found only in the dictionary of fools.”|Napoleon Bonaparte|ENG
“The only way of finding the limits of the possible is by going beyond them into the impossible.”|Arthur C. Clarke|ENG
“Twenty years from now you will be more disappointed by the things that you didn’t do than by the ones you did do. So throw off the bowlines, Sail away from the safe harbor, Catch the trade winds in your sails. Explore. Dream. Discover.”|Mark Twain|ENG
“It is hard to fail but it is worse never to have tried to succeed.”|Theodore Roosevelt|ENG
“People often say that motivation doesn’t last. Well, neither does bathing – that’s why we recommend it daily.”|Zig Ziglar|ENG
“What we can or cannot do, what we consider possible or impossible, is rarely a function of our true capability. It is more likely a function of our beliefs about who we are.”|Anthony Robbins|ENG
“There is just one life for each of us: our own.”|Euripides|ENG
“Friendship is born at that moment when one person says to another: “What! You too? I thought I was the only one.”| C.S. Lewis|ENG
“You only live once, but if you do it right, once is enough.”|Mae West|ENG
“To live is the rarest thing in the world. Most people exist, that is all.”|Oscar Wilde|ENG
“It is better to be hated for what you are than to be loved for what you are not.”|Andr Gide|ENG
“Remember, happiness doesn’t depend upon who you are or what you have, it depends solely upon what you think.”|Dale Carnegie|ENG
“Mieux vaut être seul que mal accompagné.”|Pierre Gringore|FR
“Qui goûte de tout se dégoûte de tout.”|Hippolyte Adolphe Taine|FR
“Qui trop s'exalte, trop se prise ; qui trop s'abaisse, il se déprise.”|Abbé Tuet|FR
“On n'est jamais mieux servi que par soi-même.”|Jean Palaprat|FR
“En matière d'aumône, il faut fermer la bouche et ouvrir le cœur.”|Guillaume Bouchet|FR
“Il est plus facile de conseiller que de faire.”|Amable Tastu|FR
“Tant que la bouche est occupée à manger, la panse a de la joie.”|Arnauld Oihenart|FR
"Чем меньше женщину мы любим, тем легче нравимся мы ей."|A.C.Пушкин|RUS
"Счастлив тот, кто счастлив у себя дома."|Л.Н.Толстой|RUS
"На то и ум, чтобы достичь того, чего хочешь."|Ф. М. Достоевский|RUS
"Человек рождается жить, а не готовиться к жизни."|Б.Л.Пастернак|RUS
"Наши лучшие слова – интонации."|М. И. Цветаева|RUS
"Человек есть то, что он читает."|И. A. Бродский|RUS
